**92;7;TOOLONG           FU      Z99 
2K                       FO      Z99 
Diplomacybattles         NN2     Z99 
eight-button             JJ      Z99 
Firaxis                  NP1     Z99 
hexagon                  NN1     Z99 
hexagonal                JJ      Z99 
Mongol                   JJ      Z99 
Phalanx                  NN1     Z99 
turn-based               JJ      Z99 
