***                      FO      Z99 
@ReaganWorld             FO      Z99 
@Reince                  FO      Z99 
GOP                      NN1     Z99 
Huffington               NP1     Z99 
isnt                     NN1     Z99 
Retweets                 VVZ     Z99 
soapbox                  NN1     Z99 
turncoat                 NN1     Z99 
tweeted                  VVD     Z99 
