**105;7;TOOLONG          FU      Z99 
Bellerin                 NN1     Z99 
Cazorla                  NP1     Z99 
evoPOWER                 NN1     Z99 
left-foot                NN1     Z99 
Left-Footed              JJ      Z99 
right-footed             JJ      Z99 
teamsport                NN1     Z99 
two-footed               JJ      Z99 
