***                      FO      Z99 
BERNIES                  NP2     Z99 
caucus                   NN1     Z99 
DECLARED                 VVD     Z99 
Hillary                  NP1     Z99 
Ish                      NN1     Z99 
Poloskey                 NP1     Z99 
Sanders                  NP1     Z99 
SUPERDELEGATES           NP2     Z99 
