**158;7;TOOLONG          FU      Z99 
3PLs                     FO      Z99 
Banyan                   JJ      Z99 
Banyan                   NN1     Z99 
Banyan                   NP1     Z99 
batch-based              JJ      Z99 
forwarders               NN2     Z99 
Intermodal               NP1     Z99 
LTL                      NP1     Z99 
MercuryGate              NP1     Z99 
MercuryGate              NP1@    Z99 
MercuryGate              VV0     Z99 
results-driven           JJ      Z99 
time-pressured           JJ      Z99 
Truckload                NP1     Z99 
visit:http               FO      Z99 
