***                      FO      Z99 
Bernie                   NP1     Z99 
caucuses                 NN2     Z99 
Hillary                  NP1     Z99 
pledged                  JJ%     Z99 
Sanders                  NP1     Z99 
superdelegates           NN2     Z99 
tweet                    NN1     Z99 
tweeted                  VVD     Z99 
