**27;7;TOOLONG           FO      Z99 
3-year-old               NN1@    Z99 
anti-smoking             JJ      Z99 
centerpiece              NN1     Z99 
closeup                  NN1     Z99 
dastardly                JJ      Z99 
heart-wrenching          JJ      Z99 
Jenna                    NP1     Z99 
Mandel-Ricci             NN1     Z99 
nonsmoker                NN1     Z99 
quit-smoking             JJ      Z99 
sniffling                JJ@     Z99 
voiceover                VV0     Z99 
