**25;7;TOOLONG           VV0     Z99 
app                      NN1     Z99 
campaign/platform        NN1     Z99 
card-reader              JJ      Z99 
pre-packaged             JJ      Z99 
pre-prepped              JJ      Z99 
produceno                NN1     Z99 
retrofit                 VV0     Z99 
RFID                     JJ      Z99 
SF                       NN1     Z99 
systemso                 NN1     Z99 
Yelp-like                JJ      Z99 
