**176;7;TOOLONG          FU      Z99 
7.4k                     FO      Z99 
@MailOnline              FO      Z99 
Broadchurch              VV0     Z99 
Colman                   NP1     Z99 
couldnt                  NN1     Z99 
diehard                  JJ      Z99 
emotionless              JJ      Z99 
Mother-of-three          MC      Z99 
reprise                  VV0@    Z99 
spook                    NN1     Z99 
spymaster                NN1     Z99 
Twitter                  NN1     Z99 
