**26;7;TOOLONG           FU      Z99 
Caped                    JJ      Z99 
Carrey                   NP1     Z99 
filmmakers               NN2     Z99 
helmers                  NN2     Z99 
itI                      NN2     Z99 
outside-the-box          JJ      Z99 
quiz-master              JJ      Z99 
re-booted                VVD     Z99 
reprise                  VVI     Z99 
Riddler                  NN1     Z99 
WB                       NP1     Z99 
