**31;7;TOOLONG           FO      Z99 
--                       JJ      Z99 
--                       NN1     Z99 
Biden                    NP1     Z99 
Broder                   NP1     Z99 
graying                  JJ@     Z99 
opining                  VVG     Z99 
Rolodex                  NN1     Z99 
sicle                    NN1     Z99 
