**93;7;TOOLONG           FU      Z99 
Aprile                   JJ      Z99 
bipartisanship           NN1     Z99 
diplomatically           RR      Z99 
Gov                      NN1     Z99 
McCain                   NP1     Z99 
MSNBC                    NP1     Z99 
Obama                    NP1     Z99 
partisanship             NN1     Z99 
Pazzo                    NN1     Z99 
third-story              JJ      Z99 
