**61;7;TOOLONG           FU      Z99 
Albarns                  NP2     Z99 
bassist                  NN1     Z99 
Gorillaz                 NP1     Z99 
Ive                      NN1     Z99 
madeit                   VV0     Z99 
multi-media              NN      Z99 
reconvene                VVI     Z99 
theyve                   NN1     Z99 
weve                     VV0     Z99 
Wigwam                   VV0     Z99 
XFM                      NP1     Z99 
youve                    NN1     Z99 
