**27;7;TOOLONG           FU      Z99 
de-favor                 VV0     Z99 
donuts                   NN2     Z99 
Dunkie                   NN1@    Z99 
Dunkie                   NP1     Z99 
Dunkin'                  VVG     Z99 
Dunkinana                NN1@    Z99 
golden-arched            JJ      Z99 
Im                       VV0     Z99 
old-but-new              JJ      Z99 
steaming                 JJ      Z99 
wasnt                    NN1     Z99 
